pk_teuna_fikt,SEMEL_YISHUV,HODESH_TEUNA,SUG_DEREH,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,PNE_KVISH,X,Y,lat,lon
2023000427,7400,11,urban not junction,non holiday,day,Thursday,severe,unknown,189130.0,690377.0,32.30672553768439,34.88243228064023
2023000437,6100,8,urban not junction,non holiday,night,Sunday,light,dry,184462.0,667028.0,32.09603701534973,34.833722431268136
2023000440,6100,6,urban junction,non holiday,day,Sunday,severe,unknown,184423.0,666612.0,32.09228441286887,34.833324449697145
2023000444,0,11,not urban not junction,non holiday,day,Sunday,light,dry,242280.0,661965.0,32.050690823035126,35.44610860781741
2023000445,7600,8,urban not junction,non holiday,day,Sunday,light,dry,207976.0,759216.0,32.92781176098942,35.08169694944157
2023000470,0,5,not urban not junction,non holiday,night,Saturday,severe,dry,225651.0,729507.0,32.65996980369161,35.27047460363556
2023000481,3000,12,urban junction,non holiday,night,Saturday,light,dry,219796.0,630241.0,31.76482698604928,35.20802628205213
2023000490,0,11,not urban junction,non holiday,day,Thursday,light,dry,217360.0,757495.0,32.91235213100417,35.182031840430604
2023000503,47,7,urban not junction,non holiday,day,Saturday,light,dry,240150.0,732328.0,32.68523043530194,35.425091627107115
2023000517,8400,11,urban junction,non holiday,day,Sunday,light,unknown,182769.0,643441.0,31.88327800561182,34.816683431741836
2023000519,70,5,urban not junction,non holiday,day,Thursday,light,dry,166013.0,633813.0,31.795790394987108,34.64012002685262
2023000520,70,9,urban junction,non holiday,day,Tuesday,severe,dry,166778.0,632339.0,31.782533452762834,34.64827709593039
2023000521,6600,9,urban junction,non holiday,day,Sunday,light,dry,179888.0,656963.0,32.00512199080089,34.78568151021841
2023000536,5000,4,urban junction,non holiday,day,Thursday,severe,dry,178539.0,666134.0,32.08777604134397,34.77101558545993
2023000542,0,12,not urban not junction,non holiday,day,Saturday,severe,unknown,180527.0,653902.0,31.977540418548028,34.792567381476815
2023000545,1761,6,urban not junction,non holiday,day,Thursday,light,dry,176432.0,625712.0,31.723174385620524,34.75049008906816
2023000558,0,11,not urban not junction,non holiday,day,Saturday,severe,other,,,,
2023000585,0,3,not urban not junction,non holiday,day,Wednesday,light,dry,197008.0,658361.0,32.018197754972654,34.966831471544914
2023000598,1020,1,urban not junction,non holiday,night,Saturday,light,dry,193148.0,713672.0,32.51688746370571,34.92444763998432
2023000601,8900,1,urban not junction,non holiday,night,Tuesday,severe,dry,218067.0,751042.0,32.85416765699237,35.189599250394664
2023000602,3730,6,urban not junction,non holiday,day,Friday,severe,dry,214574.0,641015.0,31.861980414972766,35.15284999430254
2023000606,0,7,not urban not junction,non holiday,night,Saturday,severe,dry,190442.0,663939.0,32.06835041637913,34.897164940303696
2023000610,0,1,not urban junction,non holiday,day,Monday,severe,dry,209402.0,758228.0,32.918917246464964,35.09695407095183
2023000611,8300,6,urban not junction,non holiday,day,Thursday,severe,unknown,180399.0,652482.0,31.964730598131776,34.79127052484308
2023000616,8300,3,urban not junction,non holiday,day,Thursday,light,unknown,178859.0,653693.0,31.975597198122873,34.77492908287396
2023000643,0,11,not urban junction,non holiday,day,Monday,light,dry,216252.0,744579.0,32.79588755790462,35.17023216693659
2023000653,3570,4,urban not junction,holiday eve,day,Tuesday,severe,unknown,217518.0,668321.0,32.108237900825785,35.183904147334836
2023000659,2610,6,urban not junction,non holiday,day,Sunday,light,dry,199394.0,629152.0,31.754830091289914,34.99268990220065
2023000663,0,6,not urban junction,non holiday,night,Tuesday,light,dry,191217.0,661621.0,32.04746657951199,34.90544046031843
2023000679,6300,10,urban junction,non holiday,night,Thursday,light,dry,181332.0,664474.0,32.072904315495414,34.80066617446543
2023000725,0,7,not urban not junction,non holiday,day,Friday,light,dry,250666.0,695479.0,32.352708204630204,35.535996834009225
2023000730,6500,5,urban junction,non holiday,day,Wednesday,light,dry,193110.0,704401.0,32.43328709813713,34.92430221497933
2023000731,9700,12,urban junction,non holiday,day,Monday,light,dry,190236.0,673048.0,32.1504883158904,34.89470617077039
2023000739,6900,5,urban not junction,non holiday,day,Sunday,light,dry,190112.0,677996.0,32.19510474963624,34.89324012396204
2023000746,8600,11,urban junction,non holiday,day,Sunday,severe,dry,183756.0,667285.0,32.09833247360022,34.826233887459324
2023000757,0,10,not urban not junction,holiday eve,day,Friday,light,dry,221924.0,747142.0,32.81899985648983,35.23079268414856
2023000772,5000,9,urban junction,non holiday,day,Thursday,light,dry,182873.0,668988.0,32.11366140786469,34.81681475786724
2023000788,7100,5,urban junction,non holiday,day,Tuesday,light,dry,159419.0,620250.0,31.673152754521062,34.571328148018125
2023000813,5000,2,urban not junction,non holiday,night,Saturday,light,dry,181474.0,667671.0,32.10173883728533,34.8020437575402
2023000818,8500,6,urban not junction,non holiday,day,Friday,severe,unknown,187517.0,648359.0,31.927772020769364,34.86670349713613
2023000829,0,6,not urban not junction,non holiday,day,Saturday,severe,dry,229654.0,564600.0,31.172776343595302,35.311409562933235
2023000840,0,8,not urban junction,non holiday,day,Monday,light,dry,211373.0,706519.0,32.45266817565431,35.118473053428424
2023000870,7400,6,urban not junction,non holiday,day,Thursday,severe,dry,185575.0,690243.0,32.30541527330727,34.84469022390913
2023000877,5000,12,urban junction,non holiday,night,Monday,light,dry,176684.0,660184.0,32.034051834973454,34.75163099857063
2023000895,5000,1,urban junction,non holiday,day,Sunday,light,dry,177902.0,661953.0,32.0500496508371,34.764448752666446
2023000922,0,10,not urban not junction,non holiday,night,Saturday,severe,dry,226572.0,737041.0,32.7278990429019,35.28034968615039
2023000935,0,11,not urban junction,non holiday,night,Tuesday,light,dry,233236.0,727702.0,32.64362527511003,35.35130172534466
2023000944,2610,5,urban not junction,non holiday,night,Wednesday,light,dry,199857.0,628073.0,31.74510727251272,34.99759830668188
2023000957,0,1,not urban not junction,non holiday,day,Monday,light,dry,221525.0,618815.0,31.661779751473016,35.22625305659715
2023000970,8600,6,urban junction,non holiday,day,Monday,severe,dry,184832.0,662148.0,32.05204153864416,34.837817657777805
